AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
53,53,Kavya Naik,49,M,A1
54,54,Arjun Patil,34,F,A1
55,55,Kavya Kumar,49,F,A1
56,56,Sneha Shetty,23,F,A1
57,57,Suresh Reddy,22,M,A1
58,58,Arjun Hegde,24,M,A1
59,59,Suresh Gowda,33,M,A1
60,60,Priya Reddy,46,M,A1
61,61,Arjun Kumar,21,F,A1
62,62,Anita Rao,29,M,A1
63,63,Sneha Gowda,48,F,A1
64,64,Deepa Reddy,22,M,A1
65,65,Arjun Naik,45,F,A1
66,66,Suresh Gowda,45,M,A1
67,67,Lakshmi Gowda,54,M,A1
68,68,Ramesh Shetty,35,F,A1
69,69,Deepa Hegde,28,F,A1
70,70,Vijay Gowda,40,F,A1
71,71,Manjunath Hegde,25,M,A1
72,72,Deepa Gowda,38,F,A1
73,73,Suresh Naik,45,F,A1
74,74,Priya Gowda,27,F,A1
75,75,Anita Reddy,22,F,A1
76,76,Deepa Kumar,46,M,A1
77,77,Lakshmi Hegde,36,F,A1
78,78,Kavya Shetty,40,F,A1
79,79,Vijay Hegde,19,F,A1
80,80,Kavya Shetty,42,M,A1
81,81,Manjunath Reddy,30,F,A1
82,82,Lakshmi Gowda,51,M,A1
83,83,Ramesh Patil,50,F,A1
84,84,Deepa Kumar,23,M,A1
85,85,Kavya Kumar,50,M,A1
86,86,Farhan Reddy,20,F,A1
87,87,Vijay Hegde,29,F,A1
88,88,Vijay Reddy,34,M,A1
89,89,Sneha Reddy,41,F,A1
90,90,Anita Reddy,40,F,A1
91,91,Kavya Reddy,20,M,A1
92,92,Farhan Hegde,35,M,A1
93,93,Sneha Reddy,30,M,A1
94,94,Lakshmi Naik,25,M,A1
95,95,Vijay Patil,44,M,A1
96,96,Vijay Kumar,25,M,A1
97,97,Kavya Gowda,50,M,A1
98,98,Kavya Kumar,49,F,A1
99,99,Lakshmi Hegde,40,F,A1
100,100,Priya Shetty,38,F,A1
101,101,Deepa Reddy,36,M,A1
102,102,Vijay Rao,25,M,A1
103,103,Deepa Reddy,27,M,A1
104,104,Lakshmi Hegde,25,F,A1
105,105,Ramesh Gowda,30,M,A1
106,106,Vijay Hegde,48,F,A1
107,107,Priya Rao,36,M,A1
108,108,Ramesh Rao,23,F,A1
109,109,Arjun Naik,32,M,A1
110,110,Manjunath Hegde,36,M,A1
111,111,Manjunath Gowda,39,F,A1
112,112,Manjunath Naik,29,F,A1
113,113,Manjunath Kumar,34,F,A1
114,114,Lakshmi Naik,32,M,A1
115,115,Vijay Hegde,22,M,A1
116,116,Anita Patil,47,M,A1
117,117,Suresh Reddy,20,F,A1
118,118,Arjun Hegde,25,M,A1
119,119,Lakshmi Shetty,35,M,A1
120,120,Farhan Reddy,32,M,A1
121,121,Farhan Rao,35,M,A1
122,122,Priya Naik,37,M,A1
123,123,Vijay Naik,21,F,A1
124,124,Sneha Reddy,33,M,A1
125,125,Lakshmi Hegde,44,M,A1
126,126,Manjunath Reddy,49,F,A1
127,127,Anita Naik,22,M,A1
128,128,Vijay Rao,52,F,A1
129,129,Deepa Naik,32,F,A1
130,130,Kavya Gowda,51,M,A1
131,131,Sneha Patil,22,F,A1
132,132,Suresh Hegde,43,F,A1
133,133,Suresh Rao,27,F,A1
134,134,Deepa Patil,24,M,A1
135,135,Arjun Patil,28,M,A1
136,136,Kavya Naik,47,M,A1
137,137,Kavya Naik,48,F,A1
138,138,Arjun Kumar,47,M,A1
139,139,Kavya Reddy,55,F,A1
140,140,Kavya Patil,39,F,A1
141,141,Deepa Gowda,36,F,A1
142,142,Manjunath Kumar,25,M,A1
143,143,Farhan Kumar,30,F,A1
144,144,Suresh Rao,49,F,A1
145,145,Lakshmi Gowda,33,F,A1
146,146,Deepa Rao,26,M,A1
147,147,Suresh Kumar,32,F,A1
148,148,Vijay Kumar,46,M,A1
149,149,Sneha Patil,28,M,A1
150,150,Anita Patil,21,F,A1
151,151,Farhan Reddy,22,M,A1
152,152,Priya Patil,31,F,A1
153,153,Ramesh Gowda,28,F,A1
154,154,Lakshmi Shetty,21,F,A1
155,155,Sneha Hegde,25,F,A1
156,156,Kavya Shetty,46,F,A1
157,157,Lakshmi Shetty,33,F,A1
158,158,Priya Reddy,42,M,A1
159,159,Ramesh Gowda,18,F,A1
160,160,Manjunath Gowda,50,M,A1
161,161,Manjunath Shetty,25,M,A1
162,162,Sneha Gowda,19,F,A1
163,163,Manjunath Gowda,54,M,A1
164,164,Priya Patil,38,F,A1
165,165,Ramesh Hegde,30,F,A1
166,166,Ramesh Naik,52,F,A1
167,167,Sneha Rao,23,M,A1
168,168,Priya Rao,34,F,A1
169,169,Vijay Hegde,31,F,A1
170,170,Lakshmi Patil,50,M,A1
171,171,Priya Shetty,30,F,A1
172,172,Ramesh Shetty,54,F,A1
173,173,Deepa Patil,53,F,A1
174,174,Deepa Reddy,40,F,A1
175,175,Anita Gowda,33,M,A1
176,176,Kavya Shetty,54,M,A1
177,177,Sneha Shetty,38,M,A1
178,178,Anita Shetty,45,F,A1
179,179,Anita Hegde,32,M,A1
180,180,Manjunath Naik,33,M,A1
181,181,Kavya Naik,28,F,A1
182,182,Sneha Kumar,45,M,A1
183,183,Manjunath Naik,24,M,A1
184,184,Suresh Rao,43,F,A1
185,185,Suresh Hegde,52,F,A1
186,186,Vijay Shetty,25,F,A1
187,187,Suresh Patil,53,F,A1
188,188,Manjunath Hegde,44,F,A1
189,189,Manjunath Hegde,19,F,A1
190,190,Kavya Gowda,30,F,A1
191,191,Priya Kumar,33,M,A1
192,192,Anita Reddy,55,F,A1
193,193,Vijay Kumar,18,F,A1
194,194,Deepa Rao,51,F,A1
195,195,Arjun Rao,30,M,A1
196,196,Kavya Naik,39,M,A1
197,197,Arjun Hegde,23,M,A1
198,198,Vijay Gowda,42,F,A1
199,199,Arjun Shetty,38,M,A1
200,200,Farhan Kumar,20,M,A1
201,201,Farhan Rao,28,M,A1
202,202,Ramesh Naik,32,M,A1
203,203,Arjun Gowda,19,M,A1
204,204,Arjun Gowda,51,F,A1
205,205,Manjunath Shetty,20,F,A1
206,206,Manjunath Naik,47,F,A1
207,207,Lakshmi Hegde,46,F,A1
208,208,Suresh Shetty,21,M,A1
209,209,Suresh Patil,46,M,A1
210,210,Deepa Hegde,42,M,A1
211,211,Ramesh Naik,53,F,A1
212,212,Farhan Kumar,53,M,A1
213,213,Sneha Reddy,25,M,A1
214,214,Suresh Rao,30,M,A1
215,215,Arjun Shetty,49,M,A1
216,216,Farhan Naik,35,F,A1
217,217,Kavya Rao,40,M,A1
218,218,Vijay Gowda,19,F,A1
219,219,Suresh Naik,53,F,A1
220,220,Kavya Naik,30,F,A1
221,221,Ramesh Hegde,47,M,A1
222,222,Anita Gowda,50,M,A1
223,223,Deepa Naik,33,M,A1
224,224,Manjunath Naik,38,M,A1
225,225,Sneha Shetty,19,F,A1
226,226,Farhan Hegde,19,F,A1
227,227,Kavya Gowda,36,F,A1
228,228,Suresh Kumar,18,F,A1
229,229,Arjun Kumar,53,F,A1
230,230,Priya Hegde,49,F,A1
231,231,Anita Hegde,48,F,A1
232,232,Sneha Gowda,19,M,A1
233,233,Anita Reddy,50,M,A1
234,234,Lakshmi Kumar,32,F,A1
235,235,Suresh Rao,34,M,A1
236,236,Deepa Shetty,32,M,A1
237,237,Deepa Naik,55,M,A1
238,238,Kavya Kumar,36,M,A1
239,239,Deepa Gowda,32,F,A1
240,240,Suresh Reddy,26,M,A1
241,241,Farhan Shetty,34,F,A1
242,242,Anita Patil,55,F,A1
243,243,Manjunath Rao,54,F,A1
244,244,Anita Patil,18,M,A1
245,245,Anita Reddy,46,M,A1
246,246,Lakshmi Patil,43,M,A1
247,247,Kavya Kumar,34,M,A1
248,248,Farhan Reddy,33,F,A1
249,249,Lakshmi Kumar,34,M,A1
250,250,Priya Naik,34,M,A1
251,251,Kavya Hegde,49,F,A1
252,252,Deepa Gowda,51,F,A1
253,253,Kavya Hegde,41,M,A1
254,254,Priya Patil,42,M,A1
255,255,Sneha Shetty,21,M,A1
256,256,Manjunath Hegde,38,F,A1
257,257,Anita Hegde,32,F,A1
258,258,Ramesh Shetty,33,F,A1
259,259,Kavya Shetty,23,F,A1
260,260,Vijay Reddy,26,M,A1
261,261,Manjunath Shetty,37,M,A1
262,262,Priya Patil,53,F,A1
263,263,Farhan Naik,22,M,A1
264,264,Manjunath Shetty,46,M,A1
265,265,Ramesh Rao,43,M,A1
266,266,Priya Reddy,24,M,A1
267,267,Ramesh Naik,25,M,A1
268,268,Lakshmi Gowda,33,M,A1
269,269,Vijay Hegde,46,M,A1
270,270,Lakshmi Reddy,35,M,A1
271,271,Lakshmi Gowda,52,F,A1
272,272,Suresh Reddy,30,M,A1
273,273,Suresh Reddy,21,F,A1
274,274,Vijay Patil,30,M,A1
275,275,Anita Patil,50,F,A1
276,276,Lakshmi Reddy,46,F,A1
277,277,Suresh Kumar,47,F,A1
278,278,Deepa Shetty,49,M,A1
279,279,Ramesh Rao,51,M,A1
280,280,Farhan Shetty,26,F,A1
281,281,Arjun Naik,53,M,A1
282,282,Manjunath Shetty,40,F,A1
283,283,Lakshmi Gowda,37,F,A1
284,284,Manjunath Shetty,21,F,A1
285,285,Priya Patil,50,M,A1
286,286,Sneha Shetty,19,F,A1
287,287,Lakshmi Patil,26,M,A1
288,288,Anita Rao,51,M,A1
289,289,Farhan Rao,46,F,A1
290,290,Sneha Reddy,26,F,A1
291,291,Priya Gowda,29,F,A1
292,292,Vijay Gowda,46,F,A1
293,293,Manjunath Kumar,51,M,A1
294,294,Manjunath Hegde,28,M,A1
295,295,Anita Shetty,29,M,A1
296,296,Vijay Kumar,49,M,A1
297,297,Ramesh Hegde,20,M,A1
298,298,Ramesh Gowda,37,F,A1
299,299,Suresh Gowda,48,F,A1
300,300,Priya Kumar,25,M,A1
301,301,Manjunath Gowda,37,F,A1
302,302,Arjun Reddy,48,M,A1
303,303,Priya Hegde,40,M,A1
304,304,Sneha Kumar,35,F,A1
305,305,Deepa Shetty,30,F,A1
306,306,Ramesh Gowda,39,F,A1
307,307,Manjunath Shetty,28,F,A1
308,308,Kavya Hegde,52,F,A1
309,309,Manjunath Hegde,30,M,A1
310,310,Anita Hegde,38,F,A1
311,311,Lakshmi Gowda,37,F,A1
312,312,Anita Gowda,54,F,A1
313,313,Suresh Naik,26,M,A1
314,314,Suresh Kumar,50,F,A1
315,315,Sneha Patil,38,F,A1
316,316,Suresh Kumar,27,F,A1
317,317,Priya Shetty,45,M,A1
318,318,Sneha Gowda,27,F,A1
319,319,Lakshmi Kumar,48,F,A1
320,320,Kavya Kumar,36,M,A1
321,321,Kavya Shetty,46,F,A1
322,322,Arjun Reddy,28,M,A1
323,323,Deepa Rao,27,F,A1
324,324,Manjunath Gowda,34,F,A1
325,325,Arjun Reddy,40,M,A1
326,326,Farhan Shetty,25,M,A1
327,327,Lakshmi Kumar,34,F,A1
328,328,Deepa Rao,24,M,A1
329,329,Vijay Reddy,48,F,A1
330,330,Arjun Gowda,41,F,A1
331,331,Arjun Reddy,30,M,A1
332,332,Ramesh Hegde,20,F,A1
333,333,Priya Shetty,18,M,A1
334,334,Lakshmi Gowda,54,M,A1
335,335,Kavya Kumar,26,M,A1
336,336,Arjun Rao,51,F,A1
337,337,Vijay Naik,30,M,A1
338,338,Deepa Shetty,28,M,A1
339,339,Suresh Naik,46,F,A1
340,340,Ramesh Patil,27,M,A1
341,341,Suresh Reddy,47,F,A1
342,342,Deepa Rao,18,F,A1
343,343,Sneha Kumar,45,F,A1
344,344,Arjun Rao,28,F,A1
345,345,Farhan Hegde,51,M,A1
346,346,Farhan Hegde,47,M,A1
347,347,Lakshmi Hegde,35,F,A1
348,348,Arjun Gowda,30,F,A1
349,349,Arjun Shetty,48,F,A1
350,350,Deepa Rao,54,M,A1
351,351,Sneha Shetty,28,M,A1
352,352,Vijay Shetty,52,F,A1
353,353,Lakshmi Gowda,48,M,A1
354,354,Ramesh Gowda,52,F,A1
355,355,Lakshmi Kumar,36,F,A1
356,356,Anita Naik,37,F,A1
357,357,Farhan Rao,53,F,A1
358,358,Farhan Shetty,49,M,A1
359,359,Lakshmi Kumar,34,M,A1
360,360,Vijay Gowda,50,M,A1
361,361,Anita Kumar,26,F,A1
362,362,Suresh Gowda,26,M,A1
363,363,Sneha Shetty,32,F,A1
364,364,Deepa Gowda,34,M,A1
365,365,Lakshmi Shetty,50,M,A1
366,366,Lakshmi Shetty,46,M,A1
367,367,Deepa Gowda,42,F,A1
368,368,Arjun Reddy,24,F,A1
369,369,Suresh Naik,45,F,A1
370,370,Deepa Reddy,32,M,A1
371,371,Deepa Naik,36,F,A1
372,372,Deepa Reddy,20,M,A1
373,373,Vijay Kumar,43,F,A1
374,374,Farhan Gowda,45,F,A1
375,375,Ramesh Hegde,20,F,A1
376,376,Lakshmi Reddy,50,F,A1
377,377,Kavya Patil,32,M,A1
378,378,Priya Patil,43,F,A1
379,379,Kavya Kumar,51,M,A1
380,380,Manjunath Shetty,34,M,A1
381,381,Ramesh Rao,35,M,A1
382,382,Priya Gowda,54,M,A1
383,383,Anita Naik,35,F,A1
384,384,Deepa Hegde,37,M,A1
385,385,Ramesh Patil,34,F,A1
386,386,Lakshmi Patil,24,M,A1
387,387,Arjun Shetty,18,F,A1
388,388,Manjunath Shetty,55,F,A1
389,389,Priya Rao,28,M,A1
390,390,Sneha Naik,30,F,A1
391,391,Priya Reddy,33,F,A1
392,392,Vijay Kumar,21,F,A1
393,393,Vijay Reddy,39,F,A1
394,394,Vijay Hegde,45,M,A1
395,395,Farhan Gowda,49,M,A1
396,396,Kavya Kumar,51,M,A1
397,397,Suresh Reddy,48,F,A1
398,398,Arjun Rao,38,M,A1
399,399,Suresh Rao,49,F,A1
400,400,Lakshmi Shetty,45,F,A1
401,401,Arjun Rao,33,F,A1
402,402,Vijay Kumar,25,F,A1
403,403,Anita Gowda,34,M,A1
404,404,Sneha Patil,37,M,A1
405,405,Deepa Shetty,48,F,A1
406,406,Suresh Patil,44,F,A1
