VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
90,90,Yogesh Bhat,26,1,0
91,91,Nagaraj Hiremath,21,1,0
92,92,Imran Rao,20,1,0
93,93,Rajesh Achar,46,1,0
94,94,Anthony Hegde,52,1,0
95,95,Yogesh Sait,61,1,0
96,96,Salim Reddy,45,1,0
97,97,Vijay Achar,65,1,0
98,98,Shilpa Bhat,25,2,0
99,99,Vijay Poojary,19,1,0
100,100,Deepa Reddy,50,2,0
101,101,Sneha D'Souza,46,2,0
102,102,Mary Naik,21,2,0
103,103,Nandini Shetty,45,2,0
104,104,Radha Kumar,58,2,0
105,105,Nagaraj Gowda,43,1,0
106,106,Swathi Desai,39,2,0
107,107,Salim Merchant,57,1,0
108,108,Harish Hiremath,66,1,0
109,109,Manjunath D'Souza,43,1,0
110,110,Nagaraj Patil,54,1,0
111,111,Ashok Rao,64,1,0
112,112,Prakash Shetty,31,1,0
113,113,Fathima Patil,44,2,0
114,114,Chandru Shetty,59,1,0
115,115,Deepa Khan,66,2,0
116,116,Priya Kulkarni,48,2,0
117,117,Salim Khan,62,1,0
118,118,Vidya D'Souza,44,2,0
119,119,Ananya Shetty,59,2,0
120,120,Geeta Naik,27,2,0
121,121,Zoya Rao,22,2,0
122,122,Pooja Kulkarni,42,2,0
123,123,Meena Achar,64,2,0
124,124,Anthony Bhat,25,1,0
125,125,Fathima Hiremath,65,2,0
126,126,Anita Kulkarni,71,2,0
127,127,Basavaraj Nayak,26,1,0
128,128,Sunita D'Souza,20,2,0
129,129,Kusuma Nayak,44,2,0
130,130,Zoya Gowda,40,2,0
131,131,Fathima Reddy,41,2,0
132,132,Farhan Patil,29,1,0
133,133,Priya Merchant,39,2,0
134,134,Lakshmi Nayak,50,2,0
135,135,Sneha D'Souza,49,2,0
136,136,Lakshmi Kumar,56,2,0
137,137,Fathima Nayak,49,2,0
138,138,Salim Nayak,48,1,0
139,139,Nandini Rao,26,2,0
140,140,Sunita Sait,62,2,0
141,141,Kavya Hegde,65,2,0
142,142,Pooja Hegde,66,2,0
143,143,Fathima Hegde,70,2,0
144,144,Farhan Rao,53,1,0
145,145,Roopa Bhat,58,2,0
146,146,Girish Nayak,20,1,0
147,147,Anita Merchant,47,2,0
148,148,Girish Merchant,68,1,0
149,149,Fathima Kumar,63,2,0
150,150,Kavya Rao,59,2,0
151,151,Anthony Kumar,28,1,0
152,152,Manjunath Bhat,72,1,0
153,153,Shilpa Achar,36,2,0
154,154,Nagaraj Reddy,62,1,0
155,155,Vidya Gowda,20,2,0
156,156,Rajesh Patil,27,1,0
157,157,Mahesh Kulkarni,66,1,0
158,158,Manoj Hiremath,56,1,0
159,159,Srinivas Rao,69,1,0
160,160,Naveen Gowda,40,1,0
161,161,Anil Sait,68,1,0
162,162,Ananya Merchant,38,2,0
163,163,Meena Hiremath,55,2,0
164,164,Vidya Patil,58,2,0
165,165,Roopa Naik,60,2,0
166,166,Imran Hegde,54,1,0
167,167,Swathi Bhat,38,2,0
168,168,Harish Kulkarni,28,1,0
169,169,Zoya Pinto,46,2,0
170,170,Iqbal Gowda,66,1,0
171,171,Srinivas Desai,58,1,0
172,172,Kusuma Rao,21,2,0
173,173,Salim Naik,48,1,0
174,174,Vijay Nayak,46,1,0
175,175,Vijay Hegde,37,1,0
176,176,Yogesh Achar,23,1,0
177,177,Girish D'Souza,23,1,0
178,178,Kiran Poojary,57,1,0
179,179,Chandru Pinto,63,1,0
180,180,Ganesh Patil,69,1,0
181,181,Vijay Kulkarni,18,1,0
182,182,Lakshmi Sait,53,2,0
183,183,Swathi Nayak,29,2,0
184,184,Arjun Merchant,63,1,0
185,185,Salim Pinto,52,1,0
186,186,Sowmya Khan,35,2,0
187,187,Iqbal Khan,47,1,0
188,188,Manoj Poojary,31,1,0
189,189,Radha Rao,31,2,0
190,190,Nagaraj Reddy,53,1,0
191,191,Basavaraj Desai,57,1,0
192,192,Roopa Bhat,41,2,0
193,193,Lakshmi Hegde,27,2,0
194,194,Srinivas Patil,29,1,0
195,195,Manjunath Khan,60,1,0
196,196,Vinod Bhat,55,1,0
197,197,Swathi Nayak,46,2,0
198,198,Imran Patil,53,1,0
199,199,Deepa Rao,61,2,0
200,200,Iqbal Poojary,25,1,0
201,201,Nandini Kumar,45,2,0
202,202,Ganesh Patil,71,1,0
203,203,Harish D'Souza,70,1,0
204,204,Sunita Hegde,57,2,0
205,205,Priya Naik,62,2,0
206,206,Ganesh Rao,39,1,0
207,207,Vijay Rao,55,1,0
208,208,Manjunath Gowda,72,1,0
209,209,Iqbal Desai,40,1,0
210,210,Kusuma Shetty,67,2,0
211,211,Suresh Nayak,40,1,0
212,212,Joseph Rao,37,1,0
213,213,Harish Kulkarni,66,1,0
214,214,Ravi Patil,59,1,0
215,215,Salim Gowda,32,1,0
216,216,Ravi Achar,19,1,0
217,217,Geeta Pinto,71,2,0
218,218,Prakash Naik,43,1,0
219,219,Arjun Khan,27,1,0
220,220,Ashok Hegde,35,1,0
221,221,Shilpa Merchant,49,2,0
222,222,Meena D'Souza,35,2,0
223,223,Yogesh Patil,18,1,0
224,224,Sowmya Patil,55,2,0
225,225,Vidya Desai,52,2,0
226,226,Divya Reddy,53,2,0
227,227,Deepa Sait,31,2,0
228,228,Geeta Naik,45,2,0
229,229,Swathi Merchant,24,2,0
230,230,Lakshmi Bhat,26,2,0
231,231,Anil Rao,23,1,0
232,232,Lakshmi Poojary,43,2,0
233,233,Dinesh Bhat,21,1,0
234,234,Kusuma Patil,47,2,0
235,235,Salim Hiremath,63,1,0
236,236,Swathi Hiremath,30,2,0
237,237,Kavya Shetty,59,2,0
238,238,Meena Gowda,39,2,0
239,239,Shalini Kulkarni,27,2,0
240,240,Kusuma Hegde,51,2,0
241,241,Yogesh Hegde,35,1,0
242,242,Vinod Patil,26,1,0
243,243,Ananya Shetty,64,2,0
244,244,Chandru Reddy,18,1,0
245,245,Ravi Bhat,23,1,0
246,246,Manjunath Rao,55,1,0
247,247,Anthony Shetty,70,1,0
248,248,Swathi Patil,51,2,0
249,249,Srinivas Hiremath,39,1,0
250,250,Nandini Khan,22,2,0
251,251,Farhan Kulkarni,40,1,0
252,252,Geeta Naik,49,2,0
253,253,Mahesh Rao,43,1,0
254,254,Shilpa Naik,40,2,0
255,255,Harish Poojary,65,1,0
256,256,Suresh Patil,40,1,0
257,257,Sunita Rao,63,2,0
258,258,Ananya Kulkarni,23,2,0
259,259,Anthony Rao,28,1,0
260,260,Yogesh Bhat,57,1,0
261,261,Rajesh Kulkarni,21,1,0
262,262,Basavaraj Kumar,60,1,0
263,263,Ravi Hiremath,25,1,0
264,264,Swathi Shetty,60,2,0
265,265,Sunita Patil,43,2,0
266,266,Kusuma Kulkarni,71,2,0
267,267,Sneha Achar,57,2,0
268,268,Lakshmi Achar,46,2,0
269,269,Joseph Kulkarni,43,1,0
270,270,Ashok Bhat,65,1,0
271,271,Radha Naik,19,2,0
272,272,Nagaraj Pinto,63,1,0
273,273,Geeta Merchant,26,2,0
274,274,Priya Bhat,18,2,0
275,275,Nagaraj Naik,70,1,0
276,276,Manjunath Nayak,20,1,0
277,277,Mary Khan,19,2,0
278,278,Zoya Hegde,31,2,0
279,279,Girish Kumar,26,1,0
280,280,Arjun Hiremath,56,1,0
281,281,Ravi Kulkarni,41,1,0
282,282,Kiran D'Souza,22,1,0
283,283,Naveen Khan,49,1,0
284,284,Dinesh Khan,63,1,0
285,285,Ravi Naik,59,1,0
286,286,Yogesh Hiremath,22,1,0
287,287,Salim Shetty,68,1,0
288,288,Ashok Shetty,24,1,0
289,289,Anthony Hiremath,22,1,0
290,290,Sowmya Gowda,61,2,0
291,291,Ravi Nayak,68,1,0
292,292,Sunita Gowda,21,2,0
293,293,Nagaraj Merchant,32,1,0
294,294,Ravi Kulkarni,61,1,0
295,295,Shalini Merchant,34,2,0
296,296,Mary Gowda,60,2,0
297,297,Meena Nayak,52,2,0
298,298,Divya Pinto,53,2,0
299,299,Mahesh Desai,43,1,0
300,300,Basavaraj Hiremath,49,1,0
301,301,Deepa D'Souza,32,2,0
302,302,Ravi Hegde,26,1,0
303,303,Kiran Pinto,18,1,0
304,304,Kiran Merchant,32,1,0
305,305,Arjun Pinto,69,1,0
306,306,Chandru Khan,50,1,0
307,307,Joseph Kulkarni,18,1,0
308,308,Manoj D'Souza,45,1,0
309,309,Yogesh Hegde,55,1,0
310,310,Ashok Merchant,64,1,0
311,311,Nandini Gowda,44,2,0
312,312,Ramesh Hiremath,57,1,0
313,313,Shilpa Gowda,65,2,0
314,314,Joseph Khan,36,1,0
315,315,Zoya Patil,39,2,0
316,316,Dinesh Achar,30,1,0
317,317,Salim Khan,31,1,0
318,318,Mary Nayak,62,2,0
319,319,Iqbal Bhat,67,1,0
320,320,Nandini Hegde,71,2,0
321,321,Kavya Naik,56,2,0
322,322,Anita Nayak,42,2,0
323,323,Lakshmi Desai,59,2,0
324,324,Basavaraj Nayak,39,1,0
325,325,Pooja Desai,46,2,0
326,326,Kusuma Pinto,20,2,0
327,327,Suresh Rao,67,1,0
328,328,Kusuma Hegde,54,2,0
329,329,Anil Naik,46,1,0
330,330,Nagaraj Nayak,27,1,0
331,331,Deepa Bhat,48,2,0
332,332,Nagaraj Hiremath,71,1,0
333,333,Zoya Pinto,42,2,0
334,334,Sneha Shetty,63,2,0
335,335,Mary Merchant,57,2,0
336,336,Rajesh Rao,33,1,0
337,337,Arjun Hiremath,38,1,0
338,338,Sowmya D'Souza,60,2,0
339,339,Rekha Rao,56,2,0
340,340,Sunita Rao,39,2,0
341,341,Salim Merchant,26,1,0
342,342,Shalini Kulkarni,35,2,0
343,343,Basavaraj Gowda,71,1,0
344,344,Radha Achar,23,2,0
345,345,Vinod Hegde,44,1,0
346,346,Basavaraj Rao,24,1,0
347,347,Sunita Reddy,51,2,0
348,348,Fathima Bhat,63,2,0
349,349,Vijay Poojary,49,1,0
350,350,Fathima Rao,68,2,0
351,351,Ananya Reddy,23,2,0
352,352,Basavaraj Bhat,60,1,0
353,353,Kavya Kulkarni,19,2,0
354,354,Basavaraj Shetty,52,1,0
355,355,Roopa Hegde,52,2,0
356,356,Prakash Nayak,62,1,0
357,357,Shilpa Pinto,26,2,0
358,358,Mary Kumar,49,2,0
359,359,Shilpa Kumar,63,2,0
360,360,Pooja Reddy,51,2,0
361,361,Pooja Hegde,47,2,0
362,362,Yogesh Hiremath,30,1,0
363,363,Divya Achar,22,2,0
364,364,Farhan Kumar,20,1,0
365,365,Vinod Khan,42,1,0
366,366,Radha Merchant,50,2,0
367,367,Geeta Bhat,61,2,0
368,368,Priya Rao,55,2,0
369,369,Lakshmi Poojary,44,2,0
370,370,Manjunath Nayak,69,1,0
371,371,Girish Rao,43,1,0
372,372,Yogesh Rao,65,1,0
373,373,Dinesh Hegde,59,1,0
374,374,Farhan Kumar,44,1,0
375,375,Imran Naik,29,1,0
376,376,Sunita Shetty,56,2,0
377,377,Roopa Reddy,44,2,0
378,378,Kusuma Desai,60,2,0
379,379,Kiran Patil,28,1,0
380,380,Mahesh Patil,22,1,0
381,381,Naveen Reddy,52,1,0
382,382,Nandini Poojary,20,2,0
383,383,Yogesh Hiremath,62,1,0
384,384,Sneha Naik,18,2,0
385,385,Pooja Gowda,51,2,0
386,386,Swathi Bhat,38,2,0
387,387,Anita Desai,61,2,0
388,388,Kavya Desai,58,2,0
389,389,Pooja Kulkarni,70,2,0
390,390,Shalini Khan,63,2,0
